id,title,date,speaker,emphasis,tags
979,Centralized and Decentralized Finance: Substitutes or Complements?,2024-10-18,Governor Christopher J. Waller,"{'inflation': 0.182, 'employment': 0.182, 'other': 0.636}","[ThemeTag(paragraph='', theme='other'), ThemeTag(paragraph='', theme='inflation'), ThemeTag(paragraph='', theme='employment'), ThemeTag(paragraph='', theme='other'), ThemeTag(paragraph='In a capitalist system, the existence of profits provides incentives for others to enter the market, offer a better product, and compete away any excess profits.', theme='other'), ThemeTag(paragraph='Often broad technological advances emanate from narrower efforts to design products or processes that solve specific problems.', theme='other'), ThemeTag(paragraph='An early crypto-asset—Bitcoin—was developed to function in a world in which trust among individuals did not exist.', theme='other'), ThemeTag(paragraph='', theme='employment'), ThemeTag(paragraph='', theme='inflation'), ThemeTag(paragraph='', theme='other'), ThemeTag(paragraph='', theme='other')]"
403,Thoughts on the Economy and Policy Rules at the Federal Open Market Committee,2024-10-14,Governor Christopher J. Waller,"{'inflation': 0.222, 'employment': 0.111, 'other': 0.667}","[ThemeTag(paragraph='The text appears to be a speech by an unknown author ( possibly an employee of the Federal Reserve) given at a conference sponsored by the Shadow Open Market Committee. The speech discusses monetary policy rules, inflation targeting, and the path of future interest rate decisions.', theme='other'), ThemeTag(paragraph='1.  The speaker notes that Taylor-type rules have been used by the Fed since the 1990s and have become part of modern policymaking.', theme='other'), ThemeTag(paragraph='2.  The speaker distinguishes between inertial and non-inertial rules, with inertial rules recommending slow changes in policy rates and non-inertial rules suggesting more aggressive cuts in interest rates.', theme='other'), ThemeTag(paragraph='3.  The speaker argues that while rules are useful for analyzing policy options, they have limitations, including the narrowness of the data considered and the inability to account for risk management.', theme='other'), ThemeTag(paragraph='The speaker presents three scenarios for future economic developments and their implications for monetary policy:', theme='other'), ThemeTag(paragraph='* A scenario where the economy continues to grow strongly, with inflation nearing target and unemployment moving up slightly. In this case, the Fed can proceed with rate cuts at a deliberate pace.', theme='inflation'), ThemeTag(paragraph='* A scenario where inflation falls below target or the labor market deteriorates significantly. In this case, the Fed should move to neutral more quickly by front-loading rate cuts.', theme='other'), ThemeTag(paragraph='* A scenario where inflation unexpectedly escalates due to stronger-than-expected consumer demand or wage pressure. In this case, the Fed can pause rate cuts until progress resumes and uncertainty diminishes.', theme='inflation'), ThemeTag(paragraph='Overall, the speech suggests that the speaker believes monetary policy should proceed with caution on the pace of rate cuts, given recent upward revisions to GDI, an increase in job vacancies, high GDP growth forecasts, a strong jobs report, and a hotter-than-expected CPI report.', theme='employment')]"
213,Challenges to the Community Banking Model,2024-10-11,Governor Michelle W. Bowman,"{'inflation': 0.0, 'employment': 0.556, 'other': 0.444}","[ThemeTag(paragraph='Banks are a critical component of the U.S. economy.2 Their work often extends well beyond the provision of credit— providing services and volunteer and financial support within their community.', theme='other'), ThemeTag(paragraph='Community banks face competitive pressures from many sources. These pressures may result from local or regional economic conditions, the needs of retail and business customers, and the products and services available in the market.', theme='employment'), ThemeTag(paragraph='Community banks also face challenges that require proactive risk management, effective and efficient prioritization of compliance resources, and the need to innovate.', theme='other'), ThemeTag(paragraph='Often, one of the greatest challenges facing a community bank is not about managing any particular risk but rather how to address all of the risks they face—and how to prioritize the approach to address each of those risks.', theme='employment'), ThemeTag(paragraph='Regulators have, at times, exacerbated these challenges with poorly designed guidance or supervision that diverts resources from core risks to non-core risks.', theme='other'), ThemeTag(paragraph='Third-party risk management can pose an additional challenge for community banks. Due to their size and scale, community banks often leverage centralized resources—technical experts who have greater expertise than the bank could fully maintain on staff—to advise and assist on a range of issues.', theme='employment'), ThemeTag(paragraph='Like third-party risk management, consumer compliance can be another area that may present challenges to community banks given their size and scale. An effective and well-run consumer compliance program balances consumer protection with the complexity and cost to establish a robust compliance management program.', theme='employment'), ThemeTag(paragraph=""There are a number of 'core' risks that are essential for bank management to address. These 'core' risks—including funding, liquidity and credit risk—should already be integrated into management priorities, since they pose the greatest threats to a bank's operations."", theme='other'), ThemeTag(paragraph='The design of regulation, guidance, and supervisory approach regulators rely upon for community banks—and the intentional policy choices that underpin this framework—are important for ensuring their effectiveness in supporting the safety and soundness of the banking system.', theme='employment')]"
70,"Entrepreneurs, Innovation, and Participation",2024-10-10,Governor Lisa D. Cook,"{'inflation': 0.2, 'employment': 0.4, 'other': 0.4}","[ThemeTag(paragraph='The author emphasizes the significance of entrepreneurship and small business entry in driving economic growth, job creation, and productivity.', theme='employment'), ThemeTag(paragraph='The article highlights the inconsistencies between different sources of self-employment data, emphasizing that the true number of self-employed individuals is likely in the millions.', theme='other'), ThemeTag(paragraph='Research cited in the article suggests that small businesses are responsible for a significant share of net job creation in the US economy. Firms under one year old create more jobs than larger firms.', theme='employment'), ThemeTag(paragraph='The author highlights the importance of innovation and entrepreneurship in driving productivity growth, citing research on the role of young and small firms in technological progress.', theme='other'), ThemeTag(paragraph='The article notes that there was a surge in business formation during the COVID-19 pandemic, particularly in high-tech industries. This growth helped mitigate some of the economic damage caused by the pandemic.', theme='employment'), ThemeTag(paragraph='Research cited in the article suggests that fiscal policies, such as expanded unemployment insurance, can influence entrepreneurship and business entry.', theme='other'), ThemeTag(paragraph='The author notes that financial conditions, including access to credit, can affect entrepreneurship and small business entry. Research has shown that firms with better financial health are more likely to innovate and hire new employees.', theme='employment'), ThemeTag(paragraph='Some key statistics mentioned in the article include:', theme='other'), ThemeTag(paragraph='10 million unincorporated self-employed individuals (BLS)', theme='inflation'), ThemeTag(paragraph='7 million incorporated self-employed individuals (BLS)', theme='inflation'), ThemeTag(paragraph='25 million nonemployer sole proprietorships (Census Bureau, 2021)', theme='other'), ThemeTag(paragraph='800,000 employer sole proprietorships (Census Bureau, 2021)', theme='inflation'), ThemeTag(paragraph='1.9 million new firm jobs created in 2022 and 2023 (BLS Business Employment Dynamics)', theme='employment'), ThemeTag(paragraph='2.5 million jobs created by new firms in 2022 (alternative data from Census Bureau Business Dynamics Statistics)', theme='employment'), ThemeTag(paragraph='Overall, the article provides a comprehensive overview of the importance of entrepreneurship and small business entry in driving economic growth and productivity in the US economy.', theme='other')]"
799,The Fed's Discount Window: 1990 to the Present,2024-10-09,Vice Chair Philip N. Jefferson,"{'inflation': 0.25, 'employment': 0.0, 'other': 0.75}","[ThemeTag(paragraph='The speaker discusses recent changes to the Discount Window, such as the introduction of primary credit and the extension of its term to 90 days during the 2007-09 financial crisis.', theme='other'), ThemeTag(paragraph='The speaker highlights the importance of readiness for lenders at their local Reserve Banks and encourages participants to be prepared for potential liquidity needs.', theme='other'), ThemeTag(paragraph='Throughout the speech, the speaker references various reports, studies, and press releases from the Federal Reserve, as well as academic research papers and articles.', theme='other'), ThemeTag(paragraph=""The FOMC's decision to lower interest rates in response to rising inflation concerns."", theme='inflation')]"
990,The Time Has Come,2024-09-06,Governor Christopher J. Waller,"{'inflation': 0.182, 'employment': 0.273, 'other': 0.545}","[ThemeTag(paragraph=""At the University of Notre Dame, Notre Dame, Indiana\nThank you, Eric, and thank you for the opportunity to speak to you today.1 My topic is the outlook for the U.S. economy and the implications for monetary policy, a set of judgements that have, of course, been influenced by this morning's jobs report."", theme='other'), ThemeTag(paragraph='Looking back at the economic data over the first six months of 2024, it portrayed an economy slowly cooling and not showing signs of significant weakening. The labor market had been gradually moderating for the past year or so, and although inflation rose in the first quarter, it then retreated in the second...', theme='employment'), ThemeTag(paragraph=""The ups and downs in the data over time highlight what I consider the right approach to meeting the FOMC's dual mandate goals—I believe we should be data dependent, but not overreact to any data point, including the latest data."", theme='other'), ThemeTag(paragraph=""Today's jobs report continues the longer-term pattern of a softening of the labor market that is consistent with moderate growth in economic activity..."", theme='employment'), ThemeTag(paragraph='While this is a correlation that certainly bears attention, I want to make a few cautionary points about relying on such rules in deciding that a recession has begun.', theme='other'), ThemeTag(paragraph='And lastly, it should be clear to everyone that many pre-pandemic economic relationships have not proven to be good policy guides post-pandemic.', theme='other'), ThemeTag(paragraph=""While I don't see the recent data pointing to a recession, I do see some downside risk to employment that I will be watching closely."", theme='employment'), ThemeTag(paragraph=""Let me now turn to the outlook for inflation. With the labor market cooling, it doesn't surprise me that wage growth has slowed to a pace consistent with the FOMC's price-stability goal..."", theme='inflation'), ThemeTag(paragraph=""Inflation in July continued to show progress toward the FOMC's goal. The price index for personal consumption expenditures (PCE), the Committee's preferred inflation measure, increased at a monthly pace of 0.2 percent in July for both total and core PCE inflation."", theme='inflation'), ThemeTag(paragraph='Now let me discuss the implications of this outlook for monetary policy...', theme='other'), ThemeTag(paragraph='Determining the appropriate pace at which to reduce policy restrictiveness will be challenging. Choosing a slower pace of rate cuts gives time to gradually assess whether the neutral rate has in fact risen, but at the risk of moving too slowly and putting the labor market at risk.', theme='other')]"
200,Interlinking Fast Payment Systems,2024-08-28,Governor Christopher J. Waller,"{'inflation': 0.091, 'employment': 0.364, 'other': 0.545}","[ThemeTag(paragraph='At the Global Fintech Fest, Mumbai, India', theme='other'), ThemeTag(paragraph='Now that fast payment systems have been established around much of the globe—in over 70 countries and climbing—attention is turning to how these newer systems could potentially enhance global payments.', theme='inflation'), ThemeTag(paragraph='The G20 roadmap addresses a new topic that payments industry stakeholders have been circling around for years—more cost-effective and timely cross-border payments for consumers and businesses.', theme='employment'), ThemeTag(paragraph='Faster and cheaper cross-border payments Not all frictions that slow payments down are bad.', theme='other'), ThemeTag(paragraph='In addition, can we assume that all parties to a cross-border transaction want faster payments?', theme='other'), ThemeTag(paragraph='Suppose we do want to incentivize senders by lowering costs of faster payments—whose responsibility is it to do that?', theme='employment'), ThemeTag(paragraph='In the United States we have experience with offering low-cost international ACH payments.', theme='other'), ThemeTag(paragraph='Practical aspects of interlinking fast payment systems We know from basic economic theory that payment systems are similar to other networks in that greater participation is necessary for the network to grow and increase value to its users.', theme='employment'), ThemeTag(paragraph='Building out domestic networks has been done in different ways. In some countries the central bank has authority to mandate participation, notably in Brazil with the successful Pix system.', theme='other'), ThemeTag(paragraph=""From a technical perspective, the promise of interlinking, which is essentially interoperability between or among domestic fast payment systems, is that fast payment networks can just 'connect' with each other and move payments globally."", theme='other'), ThemeTag(paragraph='Conclusion To sum up, overall, I do see the value of a coordination role for the public sector to improve cross-border payments, an effort in which the Federal Reserve has been and will continue to be heavily engaged.', theme='employment')]"
459,Review and Outlook,2024-08-23,Chair Jerome H. Powell,"{'inflation': 0.333, 'employment': 0.222, 'other': 0.444}","[ThemeTag(paragraph='The economy has been growing at a solid pace, with payroll employment averaging 170,000 per month over the past three months.', theme='employment'), ThemeTag(paragraph=""The personal consumption expenditures (PCE) price index increased 2.5 percent over the year ending in June 2024, which is near the Fed's 2 percent inflation target."", theme='inflation'), ThemeTag(paragraph='The rise of inflation in 2021-2022 due to supply shocks from the pandemic included global supply chain pressures, international trade disruptions, and labor market shortages.', theme='other'), ThemeTag(paragraph=""There is a case for 'looking through' temporary supply shocks rather than responding to short-run increases in inflation."", theme='other'), ThemeTag(paragraph='Readings for monthly core PCE jumped to 0.4 percent or higher and inflationary pressures broadened out across goods and services categories.', theme='inflation'), ThemeTag(paragraph='The Fed responded to these changes by raising interest rates in March 2022 to combat inflation.', theme='other'), ThemeTag(paragraph='The speech emphasizes that the global nature of this inflationary episode is similar across countries, with supply shocks and inflation pressures being observed worldwide.', theme='inflation'), ThemeTag(paragraph='Research has shown that the natural rate of unemployment had risen, making it less informative about tightness in the labor market.', theme='employment'), ThemeTag(paragraph='The speech highlights the importance of understanding the changing economic conditions and adapting monetary policy accordingly. It also emphasizes the global nature of inflation and the need for a flexible monetary policy framework to combat supply shocks and maintain price stability.', theme='other')]"
612,Current Assessment of Financial Stability,2024-05-08,Governor Lisa D. Cook,"{'inflation': 0.1, 'employment': 0.1, 'other': 0.8}","[ThemeTag(paragraph=""Today, I would like to talk about the Board's work in pursuit of financial stability, which is critical to the well-being of households, firms, and the broader economy."", theme='other'), ThemeTag(paragraph=""Financial Stability at the Federal Reserve\nAs the U.S. and global financial system continues to grow and evolve in complexity, the Fed's work on financial stability only becomes more important."", theme='other'), ThemeTag(paragraph='Review of Vulnerabilities\nBased on extensive research and experience, we routinely monitor four broad sets of vulnerabilities to the financial system that could amplify shocks:', theme='other'), ThemeTag(paragraph='Household and Firm Leverage\nTo lay out how I am currently thinking about each of these vulnerabilities, I will start with household and firm leverage.', theme='employment'), ThemeTag(paragraph='Financial Leverage and Funding Risk\nIn assessing these vulnerabilities, we tend to place a lot of weight on the capital adequacy and liquidity of the largest and most interconnected financial firms.', theme='other'), ThemeTag(paragraph='Asset Valuations\nLet me turn now to asset valuations. I think it is helpful to consider this potential vulnerability in the context of how a sharp change in valuations could interact with the vulnerabilities I have already discussed.', theme='inflation'), ThemeTag(paragraph='Commercial Real Estate\nNow I will turn to commercial real estate, or ‘CRE,’ where the shocks created by the COVID-19 pandemic continue to reverberate.', theme='other'), ThemeTag(paragraph='Private Credit\nRisks related to CRE are well known to investors and supervisors alike. Another big part of our job is to look for emerging vulnerabilities, and one that has garnered my attention is private debt.', theme='other'), ThemeTag(paragraph='Cyber Risks and Financial Stability\nI will conclude with a few thoughts on cyber risk.', theme='other'), ThemeTag(paragraph='Conclusion\nLet me conclude by summarizing how we approach the set of issues I have discussed—including systemwide monitoring, CRE and private credit developments, and cyber risks—in our financial stability work.', theme='other')]"
849,"""Oh, the Places You’ll Go and the Things You’ll Do""",2024-05-04,Governor Lisa D. Cook,"{'inflation': 0.097, 'employment': 0.097, 'other': 0.806}","[ThemeTag(paragraph=""For those earning your bachelor's degrees, you entered college during the pandemic and made it through a very challenging time to obtain a college education."", theme='other'), ThemeTag(paragraph='I think that one of the most exciting aspects of this moment is the infinite set of possibilities your future holds.', theme='other'), ThemeTag(paragraph='It is customary at commencements to hand the speaking duties over to an alumnus or alumna of the college or university who has gone forth and done well.', theme='other'), ThemeTag(paragraph='My mother, Professor Mary Murray Cook, was the first tenured African American faculty member at this university.', theme='other'), ThemeTag(paragraph='I want to thank several of her former students and advisees, including Deborah Davis Arnold Boyd, Mary Gordy Hurt, and former professor in the department of nursing Ella Milner...', theme='other'), ThemeTag(paragraph='My feelings about GCSU begin with immense gratitude.', theme='other'), ThemeTag(paragraph='My family lived through the events that brought Milledgeville out of a deeply segregated South and made Georgia College and State University into the university it is today.', theme='other'), ThemeTag(paragraph='It was rare in the early 1960s for colleges to hire, let alone to grant tenure to, an African American man or woman, particularly in a rural community in Georgia.', theme='other'), ThemeTag(paragraph='One of my fondest memories at Peabody was when teachers allowed us to take classroom pets home for the weekend.', theme='other'), ThemeTag(paragraph='Much of my childhood revolved around Georgia College. The scholars in my family were social and natural scientists, and my sisters and I entered science fairs that were supported by GCSU...', theme='other'), ThemeTag(paragraph='We also learned a lot from students at Georgia College.', theme='other'), ThemeTag(paragraph='Something else that brought the world to me was the GCSU library, and its amazing librarians.', theme='other'), ThemeTag(paragraph='The Georgia College community introduced us to the world in many other ways.', theme='other'), ThemeTag(paragraph='Georgia College not only brought the world to us, but it also brought us to the world, a world larger than ourselves.', theme='other'), ThemeTag(paragraph='In a fundamental way, on this campus, what mattered was intelligence, knowledge, and effort.', theme='other'), ThemeTag(paragraph='My sisters and I distinctly remember the day the college voted to make history in the 1970s and selected Monica Manns as the first Black woman to become Miss Georgia College.', theme='other'), ThemeTag(paragraph='For my family, GCSU always represented the promise, so fundamental to the Civil Rights Movement...', theme='other'), ThemeTag(paragraph=""It was there I first heard about the woman who was Delta's first national president: Dr. Sadie Tanner Mossell Alexander."", theme='other'), ThemeTag(paragraph=""But before all those achievements, Sadie Alexander's first interest was economics."", theme='inflation'), ThemeTag(paragraph=""Collecting my own data and employing some of the data and discoveries of economics over the ensuing decades gathered at Georgia College's library..."", theme='other'), ThemeTag(paragraph='I researched the major causes of African American unemployment.', theme='inflation'), ThemeTag(paragraph='I did not know it at the time, but this was the beginning of my interest in economics.', theme='other'), ThemeTag(paragraph='I figured it out, as it happened, at another place I never imagined I might get to—the slopes of Mt. Kilimanjaro in Tanzania.', theme='other'), ThemeTag(paragraph='This economist also advised me on the higher-level math courses I would need to take to prepare to do a Ph.D. in economics...', theme='employment'), ThemeTag(paragraph='I relentlessly pursued the economic questions we discussed on Kilimanjaro and related questions, in graduate school in California and then in Moscow...', theme='inflation'), ThemeTag(paragraph='While much of my research relates to various aspects of economic growth and innovation...', theme='other'), ThemeTag(paragraph='Then, in 2022, I had the honor of being nominated by President Biden to serve on the Board of Governors of the Federal Reserve System.', theme='employment'), ThemeTag(paragraph='It is a very wide circle that I have traced to return here today.', theme='other'), ThemeTag(paragraph='I think that you may begin to see why this homecoming for me is so meaningful and emotional.', theme='other'), ThemeTag(paragraph='It means that whoever you are, wherever you come from, and whatever anyone has ever said about you or your capabilities...', theme='employment'), ThemeTag(paragraph='Georgia College and State University has prepared you Bobcats well.', theme='other')]"
