id,title,date,speaker,emphasis,tags
1043,Artificial Intelligence and the Labor Market: A Scenario-Based Approach,2025-05-09,Governor Michael S. Barr,"{'inflation': 0.0, 'employment': 0.583, 'other': 0.417}","[ThemeTag(paragraph='The provided text discusses various aspects of Artificial Intelligence (AI) and its impact on the economy, society, and employment. Here are some key points:', theme='employment'), ThemeTag(paragraph='General Purpose Technology: The concept of General Purpose Technology (GPT) is introduced, which refers to technologies that can be applied across multiple industries, leading to significant productivity gains.', theme='other'), ThemeTag(paragraph='Transformative AI: The text highlights the potential transformative power of AI, which could lead to significant changes in the way businesses operate and jobs are created or destroyed.', theme='employment'), ThemeTag(paragraph='Impact on employment: The author discusses how AI may displace some jobs but also create new ones, citing examples such as GenAI increasing productivity among human programmers.', theme='employment'), ThemeTag(paragraph='Scenarios for the future: Two possible scenarios for the transition to Artificial General Intelligence (AGI) are presented: one where AGI is developed and leads to significant economic growth, and another where it is not developed or its development is delayed.', theme='other'), ThemeTag(paragraph='Evidence on AI adoption: The text summarizes recent survey evidence on AI adoption in workplaces, with some firms expecting to retrain their staff to use AI.', theme='employment'), ThemeTag(paragraph='Measuring the natural rate of unemployment: The author discusses different approaches for estimating the natural rate of unemployment (u*) and its relevance to understanding the labor market impact of AI.', theme='employment'), ThemeTag(paragraph='Some potential topics for further discussion or exploration based on this text include:', theme='other'), ThemeTag(paragraph='The role of education and retraining in preparing workers for an AI-driven economy.', theme='employment'), ThemeTag(paragraph='The impact of AI on specific industries, such as healthcare, finance, or transportation.', theme='other'), ThemeTag(paragraph='The development of new jobs and careers that arise from the application of AI.', theme='employment'), ThemeTag(paragraph='The potential societal benefits and challenges associated with widespread AI adoption.', theme='other')]"
335,Assessing Maximum Employment,2025-05-09,Governor Adriana D. Kugler,"{'inflation': 0.1, 'employment': 0.5, 'other': 0.4}","[ThemeTag(paragraph='This is a long-form essay written by James B. Bullard, President and CEO of the Federal Reserve Bank of St. Louis, on the concept of maximum employment, also known as the natural rate of unemployment or u*. The essay provides an overview of the current understanding of maximum employment, its measurement, and its implications for monetary policy.', theme='employment'), ThemeTag(paragraph='**Maximum employment is a time-varying concept**: Bullard notes that early economists recognized that the natural rate of unemployment can change over time.', theme='other'), ThemeTag(paragraph='**Estimating maximum employment requires advanced statistical techniques**: The author discusses various methods used to estimate u*, including demographic trends, labor force composition, and unemployment duration.', theme='employment'), ThemeTag(paragraph='**The relationship between unemployment rates and maximum employment is complex**: Bullard explains that the trend component of the unemployment rate (u*) may not be as strongly cyclical as the overall unemployment rate.', theme='other'), ThemeTag(paragraph='**Temporary layoffs are a key feature of labor market dynamics**: The essay highlights the importance of temporary layoffs in understanding labor market behavior, particularly during economic downturns.', theme='employment'), ThemeTag(paragraph='**Maximum employment estimates can inform monetary policy decisions**: Bullard argues that estimates of u* can provide useful information for policymakers to set interest rates and implement monetary policies.', theme='other'), ThemeTag(paragraph=""**Perry (1970)**: George L. Perry's paper 'Changing Labor Markets and Inflation' is cited as an early example of estimating time-varying maximum employment."", theme='inflation'), ThemeTag(paragraph=""**Friedman (1968)**: Milton Friedman's concept of a 'natural rate' of unemployment is discussed, although the author notes that this term has become somewhat controversial."", theme='other'), ThemeTag(paragraph=""**Hall and Kudlyak (2023)**: Robert E. Hall and Marianna Kudlyak's paper on the active role of the natural rate of unemployment challenges the weaker cyclicality of u* relative to the overall unemployment rate."", theme='employment'), ThemeTag(paragraph='Overall, the essay provides a comprehensive overview of the current understanding of maximum employment, its measurement, and its implications for monetary policy decisions.', theme='employment')]"
716,"Thank You, John",2025-05-09,Governor Christopher J. Waller,"{'inflation': 0.143, 'employment': 0.238, 'other': 0.619}","[ThemeTag(paragraph='Kydland and Prescott then showed that if, on the other hand, the central bank could commit to following a rule to set policy, then it could not renege on its promises. As a result, inflation would stay low while yielding the same outcomes for output and employment.', theme='other'), ThemeTag(paragraph='In 1983, Robert Barro and David Gordon used the Kydland–Prescott example to study reputation building by the central bank.', theme='employment'), ThemeTag(paragraph=""Up until Rogoff's work, the underlying assumption had been that the central bank was trying to maximize social welfare and that its preferences were aligned with those of society."", theme='other'), ThemeTag(paragraph=""It was around that time that I read Alberto Alesina's paper on 'partisan business cycles.' In that paper, he assumed there were different political parties, each having different preferences about inflation and unemployment."", theme='employment'), ThemeTag(paragraph='I now introduce John Taylor and his work into the story, which coincided with the beginning of my own research career.', theme='other'), ThemeTag(paragraph='In 1983, having read the Barro and Gordon paper, I started working on reputation-building strategies as part of my Ph.D. dissertation research.', theme='employment'), ThemeTag(paragraph=""That is when I went back and read John Taylor's discussion of the Barro and Gordon paper in the Journal of Monetary Economics."", theme='other'), ThemeTag(paragraph=""As I read that sentence, I thought, 'How does society build credibility into the institution instead of relying on the credibility of an individual?' That one sentence that John wrote in 1983 set me off on a 20-year journey studying central bank design."", theme='other'), ThemeTag(paragraph='But commitment to most things in life is easier said than done. Even rules can be abandoned if it is optimal to do so.', theme='other'), ThemeTag(paragraph='In the absence of commitment, can the central bank do anything to enhance the credibility of its promise to keep inflation low?', theme='inflation'), ThemeTag(paragraph='The traditional argument for discretionary monetary policy was that any policy choice that a rule would recommend could be replicated by discretion, especially when policymakers are aware of the rule, but not vice versa.', theme='other'), ThemeTag(paragraph='Reneging on promises made by discretionary policymakers, they argued, is much easier than reneging on a policy rule, which is a way to commit to future actions.', theme='inflation'), ThemeTag(paragraph='Kydland and Prescott provided a simple and appealing model at the end of their paper. The model had an incentive for the central bank to renege on its promise to keep inflation low, since doing so would expand the economy and lower unemployment.', theme='inflation'), ThemeTag(paragraph='So where did it lead me?', theme='other'), ThemeTag(paragraph=""Around that time, Ken Rogoff published his paper on what he referred to as 'conservative' central bankers."", theme='employment'), ThemeTag(paragraph='This type of institutional design issue was one that I was interested in researching.', theme='other'), ThemeTag(paragraph=""But as I read Rogoff's work, it suggested that society consisted of people who had a variety of views about inflation, meaning that they would also have different views on the tradeoff between inflation and output stability."", theme='other'), ThemeTag(paragraph='So I tried to endogenize the heterogeneity in preferences.', theme='other'), ThemeTag(paragraph='I assumed that board members were appointed by the winning party of an election to serve for multiple periods.', theme='employment'), ThemeTag(paragraph=""My research showed that by having an independent policy board set monetary policy, social well-being was improved relative to Alesina's results."", theme='other'), ThemeTag(paragraph='To conclude, I have come full circle in my professional life—from first reading that sentence that John wrote in 1983 to researching central bank independence and central bank boards for 20 years to then becoming a central bank board member, which led me here today.', theme='other')]"
1039,Opening Remarks on Productivity Dynamics,2025-05-09,Governor Lisa D. Cook,"{'inflation': 0.1, 'employment': 0.1, 'other': 0.8}","[ThemeTag(paragraph='Before that, I would like to briefly discuss a topic I see as critical to the future path of the economy: productivity growth.', theme='other'), ThemeTag(paragraph='The challenge for Federal Reserve policymakers was clear: Move inflation back toward its 2 percent target while maintaining the health of the labor market.', theme='inflation'), ThemeTag(paragraph='Two notable factors were the unwinding of pandemic-era conditions that previously constrained the supply of both goods and labor in conjunction with restrictive monetary policy that contributed to a moderation in aggregate demand.', theme='other'), ThemeTag(paragraph='Prior to the pandemic, from 2007 to 2019, productivity growth in the business sector averaged 1.5 percent annually. In the past five years productivity growth accelerated to 2 percent.', theme='other'), ThemeTag(paragraph='Improved productivity is widely beneficial to the economy.', theme='other'), ThemeTag(paragraph='Now that I have reviewed the role that productivity growth played in the post-pandemic recovery, I would like to focus on two countervailing forces on productivity that I am currently studying.', theme='other'), ThemeTag(paragraph='I expect to see a drag on productivity in the near term stemming from the recent changes to trade policy and the related uncertainty, for several reasons.', theme='employment'), ThemeTag(paragraph='The second ongoing economic development I see altering productivity is the rapidly expanding use of AI.', theme='other'), ThemeTag(paragraph='AI has the potential to revolutionize numerous sectors of our economy.', theme='other'), ThemeTag(paragraph='To summarize, I see an important role for productivity growth to play in assisting FOMC policymakers to achieve our dual-mandate goals.', theme='other')]"
940,Four Guides for the Journey Ahead,2025-05-03,Governor Lisa D. Cook,"{'inflation': 0.0, 'employment': 0.333, 'other': 0.667}","[ThemeTag(paragraph=""Huge congratulations to Michigan State University's James Madison College Class of 2025!1 It is an honor to speak to this inspiring and talented graduating class. Before I address the graduates, I would like to thank those who helped you get here: the parents, grandparents, siblings, aunts and uncles, friends, teachers, and mentors. Congratulations and thank you to all who lifted up the Class of 2025."", theme='other'), ThemeTag(paragraph=""As a professor's kid and as an MSU professor, I have come to treasure commencements as important milestones. It is wonderful to be with you today. The flowers are starting to bloom in Beal Garden, the lawns around Beaumont Tower are turning the perfect shade of Spartan green, and the ducklings are making their appearance on the Red Cedar. After another chilly winter, campus is reaching peak beauty—just in time for you to leave Michigan State."", theme='other'), ThemeTag(paragraph='I am full of optimism about everything that lies ahead of you. Despite any sense of angst you may feel about moving on from Madison, I hope that you are filled with optimism, too. Spring is a time of new beginnings. You are ready for the next step. Today marks both the completion of a tremendous accomplishment, and an exciting new beginning.', theme='employment'), ThemeTag(paragraph='When I was in your shoes, graduating from Spelman College, I remember feeling unsure of what the world would have in store for me. I did not imagine I would be a member of the Federal Reserve Board of Governors, or even an economist.', theme='other'), ThemeTag(paragraph='Today, you are leaving the safe harbor of Case Hall and East Lansing, ready to depart on your next adventure. As you do, I would like to offer four guides for you to navigate your journey ahead: hope, curiosity, persistence, and a commitment to public service.', theme='other'), ThemeTag(paragraph='Hope is a value instilled in me from a very young age. I saw my parents and family members face difficult challenges. They persevered because they held out hope that their actions would lead to a better future, not only for themselves, but for me and my sisters, our community, and ultimately all of society.', theme='other'), ThemeTag(paragraph='As James Madison graduates, I know each of you has some corner of the world in which you have made a difference or wish to make a difference. It could have been through debate, JMC Senate, ASMSU, 4-H, ROTC, peer mentoring, Fed Challenge, a public service sorority or fraternity, or Model UN, among many other organizations.', theme='other'), ThemeTag(paragraph='Curiosity is magical, but it takes vigilance, practice, and study to avoid stagnation, and to reach new insights. Curiosity will lead you to wonderful opportunities if you trust its guidance.', theme='employment'), ThemeTag(paragraph='That leads me to my third suggestion for your journey ahead: be persistent. As Madison graduates, you know about preparation. To be persistent in your efforts, you need to continually prepare yourself for the next steps, even if you do not know the destination.', theme='employment'), ThemeTag(paragraph='Historically, Madison graduates have entered public service jobs immediately after graduation in large numbers, including with the Peace Corps, Teach for America, nonprofits, and local, state, and federal agencies.', theme='employment'), ThemeTag(paragraph='Graduates—Spartans—you are entering the wider world, one filled with pressing needs, and countless opportunities. As you make your way, let hope be your constant companion. Heed your curiosity. Honor deep knowledge and thorough, persistent preparation.', theme='other'), ThemeTag(paragraph='I urge you to plumb the depths of the deep oceans, where you will find the great questions that excite, challenge, and motivate you. You will face rough waters, the route will change, and your destination is not entirely known.', theme='other')]"
117,Welcoming Remarks,2025-04-23,Governor Christopher J. Waller,"{'inflation': 0.25, 'employment': 0.0, 'other': 0.75}","[ThemeTag(paragraph='We want—in fact, we need—to know how you have been impacted. We need to know how inflation and interest rates are affecting consumers. We need to know how rates are affecting the cost and access to credit by businesses small and large.', theme='inflation'), ThemeTag(paragraph='I advised on monetary policy while engaging with people throughout the Eighth District, hearing their concerns about how they were faring in the economy, and how they were affected by inflation, interest rates, and the state of the job market.', theme='inflation'), ThemeTag(paragraph='the Fed is located in and part of every region of the United States. Reserve Banks such as the St. Louis Fed carry out a number of important functions, but among the most important is ensuring that the concerns and priorities of the communities each Reserve Bank serves are reflected in monetary policy decisions made in Washington.', theme='other'), ThemeTag(paragraph='We call this part of the ""soft"" data that supplements the hard numbers of the government statistics that policymakers eagerly await. The ""hard"" data is indispensable for setting monetary policy, but we can\'t get a full and detailed picture of the economy without the soft data you can provide.', theme='other'), ThemeTag(paragraph=""Fed Listens is directly connected to the Fed's review of our long-run goals and strategy for monetary policy, referred to as our framework, which was last updated five years ago. But in a larger sense, it is part of a broader process of consultation with the public that never stops."", theme='other'), ThemeTag(paragraph='In addition to the valuable information that Fed policymakers receive at these events, engagement with the public contributes to a broader understanding of the important role that monetary policy plays in the economy.', theme='other'), ThemeTag(paragraph=""Fed Listens is about hearing from the public on the Federal Reserve's approach to monetary policy, and that begins with active and broad participation. Your interest and engagement in the work of the Fed is an essential first step in this process of consultation."", theme='other'), ThemeTag(paragraph='As we have heard from President Musalem, the Federal Reserve was, in important ways, actually designed to promote this kind of engagement and input from the public.', theme='other')]"
565,Transmission of Monetary Policy,2025-04-22,Governor Adriana D. Kugler,"{'inflation': 0.125, 'employment': 0.25, 'other': 0.625}","[ThemeTag(paragraph='This is a speech by a member of the Federal Reserve Board, discussing the current state of the economy and the transmission channels of monetary policy.', theme='other'), ThemeTag(paragraph='The speaker notes that the economic effects of tariffs and associated uncertainty are likely to be larger than anticipated, and highlights the importance of paying close attention to real-time data and considering the lags and asymmetries of policy transmission. They also emphasize the need to broadly examine all available information, including market-based measures, surveys, and anecdotal reports, to understand what is happening in the economy.', theme='other'), ThemeTag(paragraph='The speaker discusses several key points:', theme='other'), ThemeTag(paragraph='1. **Monetary policy transmission**: The Fed has learned much about how monetary policy shocks are transmitted through the economy, but there is still more to learn.', theme='employment'), ThemeTag(paragraph='2. **Asymmetries in policy transmission**: Monetary policy may have different effects on output and inflation during expansions versus recessions, or when credit channels are affected by changes in financial conditions.', theme='inflation'), ThemeTag(paragraph='3. **Lags in policy transmission**: It takes time for monetary policy shocks to have an impact on the economy, which can make it difficult to determine their effects.', theme='other'), ThemeTag(paragraph='4. **Household excess savings**: The speaker notes that household excess savings during the pandemic were significant and may have influenced consumption patterns and the effectiveness of monetary policy.', theme='employment'), ThemeTag(paragraph='The speech concludes by emphasizing the importance of considering these complexities when setting monetary policy, with a focus on achieving the dual mandate goals of maximum employment and price stability.', theme='other')]"
976,Economic Mobility and the Dual Mandate,2025-04-22,Vice Chair Philip N. Jefferson,"{'inflation': 0.0, 'employment': 0.0, 'other': 1.0}","[ThemeTag(paragraph='Taking Stock of Economic Mobility', theme='other'), ThemeTag(paragraph='Policymakers have long been aware of the importance of economic mobility. To illustrate that, let me share a quote from Ben S. Bernanke: ""The Level and Distribution of Economic Well-Being.""', theme='other'), ThemeTag(paragraph='One way that economic mobility could matter for the conduct of monetary policy is if the goals of monetary policy are easier to achieve in a high-mobility society compared with one with low mobility.', theme='other'), ThemeTag(paragraph='Going back to my initial question, I asked whether meeting the dual mandate facilitates economic mobility. I think that achieving the dual mandate sets the conditions for all individuals to succeed, including those moving up the economic ladder.', theme='other'), ThemeTag(paragraph='Achieving the dual mandate sets the conditions for all individuals to succeed, including those moving up the economic ladder.', theme='other'), ThemeTag(paragraph='I think that a society with relatively higher mobility may allow for more efficient transmission of monetary policy.', theme='other'), ThemeTag(paragraph='Individuals and households may hold additional savings for increased investments in human capital when mobility is relatively higher, allowing for more effective transmission of monetary policy.', theme='other'), ThemeTag(paragraph='The views expressed here are my own and are not necessarily those of my colleagues on the Federal Reserve Board or the Federal Open Market Committee.', theme='other'), ThemeTag(paragraph='Does economic mobility matter for the conduct of monetary policy?', theme='other'), ThemeTag(paragraph='The flatter slope indicates that outcomes for children from lower-income families are more similar to outcomes for children from higher-income families within each college type than they are overall.', theme='other'), ThemeTag(paragraph='By joining in these conversations here today, and by continuing to research and describe the patterns of economic mobility, you are helping society understand the dynamics of our economy better and find new and innovative ways to help keep the American dream of economic mobility alive and well.', theme='other'), ThemeTag(paragraph='I do not know if this is true, but let me offer some conjectures. I think that a society with relatively higher mobility may allow for more efficient transmission of monetary policy.', theme='other'), ThemeTag(paragraph='The flatter slope indicates that outcomes for children from lower-income families are more similar to outcomes for children from higher-income families within each college type than they are overall.', theme='other'), ThemeTag(paragraph='By joining in these conversations here today, and by continuing to research and describe the patterns of economic mobility, you are helping society understand the dynamics of our economy better and find new and innovative ways to help keep the American dream of economic mobility alive and well.', theme='other'), ThemeTag(paragraph='The flatter slope indicates that outcomes for children from lower-income families are more similar to outcomes for children from higher-income families within each college type than they are overall.', theme='other')]"
76,Deepfakes and the AI Arms Race in Bank Cybersecurity,2025-04-17,Governor Michael S. Barr,"{'inflation': 0.0, 'employment': 0.4, 'other': 0.6}","[ThemeTag(paragraph=""Thank you for the opportunity to speak to you today about artificial intelligence (AI) and cybersecurity. In the past, a skilled forger could pass a bad check by replicating a person's signature. Now, advances in AI can do much more damage by replicating a person's entire identity."", theme='other'), ThemeTag(paragraph='Cybercrime is on the rise, and cybercriminals are increasingly turning to Gen AI to facilitate their crimes. Criminal tactics are becoming more sophisticated and available to a broader range of criminals.', theme='employment'), ThemeTag(paragraph='Criminals can also use Gen AI-generated videos to create believable depictions of individuals. For videos, Generative Adversarial Networks (GANs) are the core technology behind most deepfake systems.', theme='other'), ThemeTag(paragraph='I expect that many of you can recall examples of how deepfakes of politicians and prominent business executives have fooled the public and spread disinformation. Deepfakes are also being used to commit payment fraud.', theme='employment'), ThemeTag(paragraph='Anatomy of a Deepfake', theme='other'), ThemeTag(paragraph='Defending Against Deepfakes', theme='other'), ThemeTag(paragraph=""Banks have two points of control over the transaction—confirming not only the sender's identity, but also the legitimacy of the recipient address."", theme='employment'), ThemeTag(paragraph='Customers should do their part, enabling multi-factor authentication on their accounts and verifying unusual requests through a separate channel.', theme='other'), ThemeTag(paragraph='Regulators can help to reinforce the importance of cyber defenses in safe and sound banking through appropriate updates to guidance and regulation.', theme='employment'), ThemeTag(paragraph='Conclusion', theme='other')]"
141,Economic Outlook,2025-04-16,Chair Jerome H. Powell,"{'inflation': 0.267, 'employment': 0.333, 'other': 0.4}","[ThemeTag(paragraph='At the Fed, we are always focused on the dual-mandate goals given to us by Congress: maximum employment and stable prices.', theme='employment'), ThemeTag(paragraph='Inflation has come down a great deal but is running a bit above our 2 percent objective.', theme='inflation'), ThemeTag(paragraph='The labor market is at or near maximum employment.', theme='employment'), ThemeTag(paragraph=""Turning to the incoming data, we will get the initial reading on first-quarter GDP in a couple of weeks. The data in hand so far suggest that growth has slowed in the first quarter from last year's solid pace."", theme='other'), ThemeTag(paragraph='Surveys of households and businesses report a sharp decline in sentiment and elevated uncertainty about the outlook, largely reflecting trade policy concerns.', theme='other'), ThemeTag(paragraph='In the labor market, during the first three months of the year, nonfarm payrolls grew by an average of 150,000 jobs a month.', theme='employment'), ThemeTag(paragraph='The ratio of job openings to unemployed job seekers has remained just above 1, near its pre-pandemic level.', theme='employment'), ThemeTag(paragraph='Wage growth has continued to moderate while still outpacing inflation. Overall, the labor market appears to be in solid condition and broadly in balance and is not a significant source of inflationary pressure.', theme='employment'), ThemeTag(paragraph='As for our price-stability mandate, inflation has significantly eased from its pandemic highs of mid-2022 without the kind of painful rise in unemployment that has frequently accompanied efforts to bring down high inflation.', theme='inflation'), ThemeTag(paragraph='Progress on inflation continues at a gradual pace, and recent readings remain above our 2 percent objective.', theme='inflation'), ThemeTag(paragraph='The level of the tariff increases announced so far is significantly larger than anticipated. The same is likely to be true of the economic effects, which will include higher inflation and slower growth.', theme='other'), ThemeTag(paragraph='Tariffs are highly likely to generate at least a temporary rise in inflation. The inflationary effects could also be more persistent.', theme='inflation'), ThemeTag(paragraph='Our obligation is to keep longer-term inflation expectations well anchored and to make certain that a one-time increase in the price level does not become an ongoing inflation problem.', theme='other'), ThemeTag(paragraph='We may find ourselves in the challenging scenario in which our dual-mandate goals are in tension. If that were to occur, we would consider how far the economy is from each goal, and the potentially different time horizons over which those respective gaps would be anticipated to close.', theme='other'), ThemeTag(paragraph='We understand that elevated levels of unemployment or inflation can be damaging and painful for communities, families, and businesses. We will continue to do everything we can to achieve our maximum-employment and price-stability goals.', theme='other')]"
